ticker,company,sector,industry,country,market_cap,pe,ps,pb,p_free_cash_flow,dividend_yield,performance_half_year,price,evebitda,bb,pe_rank,ps_rank,pb_rank,bby,shy,pfcf_rank,evebitda_rank,rank
ACMP,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Equipment & Services,USA,11956.31,35.08,11.14,2.42,0.0,3.77,25.12,58.93,22.57,0,83.31959329486122,91.83841714756801,0.0,-0.0,3.77,50,50,275.15801044242926
ACN,Accenture plc,Technology,Information Technology Services,Ireland,53090.23,18.48,1.73,9.52,30.66,2.36,10.24,78.9,10.46,0,0.0,0.0,92.91014014839241,-0.0,2.36,50,50,100.0
ACO,Amcol International Corp.,Basic Materials,Industrial Metals & Minerals,USA,1488.25,42.76,1.47,3.27,0.0,1.75,39.99,45.75,11.9,0,87.27672437482825,0.0,0.0,-0.0,1.75,50,50,187.27672437482823
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,1430.15,88.77,4.25,3.2,44.69,0.0,4.94,34.62,30.48,0,94.55894476504534,0.0,0.0,-0.0,0.0,50,50,194.55894476504534
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,371.72,10.02,10.68,0.89,0.0,7.68,9.41,13.02,0,31.602088485847762,0.0,0.0,-0.0,7.68,50,50,131.60208848584776
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,459.67,0.0,15.58,6.28,0.0,0.0,25.5,10.68,-58.66,0,0.0,94.28414399560319,0.0,-0.0,0.0,50,50,194.2841439956032
ACT,Actavis plc,Healthcare,Drugs - Generic,USA,34442.58,0.0,3.97,3.61,39.65,0.0,37.03,197.39,20.5,0,0.0,69.63451497664194,71.86040120912338,-0.0,0.0,50,50,169.63451497664192
ACTG,Acacia Research Corporation,Services,Business Services,USA,853.68,0.0,6.54,1.49,0.0,2.93,-16.29,17.06,-23.78,0,0.0,84.06155537235504,0.0,-0.0,2.93,50,50,184.06155537235503
ACW,Accuride Corp.,Consumer Goods,Auto Parts,USA,225.29,0.0,0.35,3.65,0.0,0.0,-2.87,4.74,11.89,0,0.0,0.0,0.0,-0.0,0.0,50,50,100.0
ACXM,Acxiom Corporation,Technology,Information Technology Services,USA,2403.68,46.97,2.19,3.44,18.76,0.0,1.81,31.47,12.07,0,88.7881286067601,0.0,70.04671613080517,-0.0,0.0,50,50,188.7881286067601
ADBE,Adobe Systems Inc.,Technology,Application Software,USA,31874.63,120.83,7.88,4.82,34.5,0.0,23.37,64.04,37.86,0,96.2627095355867,86.8370431437208,0.0,-0.0,0.0,50,50,283.09975267930747
ADC,Agree Realty Corp.,Financial,Property Management,USA,445.21,21.41,10.23,1.4,0.0,5.78,-1.13,29.76,16.57,0,61.85765320142897,90.7392140697994,0.0,-0.0,5.78,50,50,252.59686727122838
